run_id,description,length_set,shape,test_roc_auc_A,test_roc_auc_B,test_pr_auc_A,test_pr_auc_B,val_roc_auc_A,val_roc_auc_B,val_pr_auc_A,val_pr_auc_B,test_roc_auc_mean,test_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,val_roc_auc_mean,val_roc_auc_std,val_pr_auc_mean,val_pr_auc_std,delta_roc_auc_A,delta_roc_auc_B,delta_roc_ci_low_A,delta_roc_ci_low_B,delta_roc_ci_high_A,delta_roc_ci_high_B,delta_roc_p_value_A,delta_roc_p_value_B,delta_pr_auc_A,delta_pr_auc_B,delta_pr_ci_low_A,delta_pr_ci_low_B,delta_pr_ci_high_A,delta_pr_ci_high_B
A1_bucket,"A1 bucket edges (1, 6, 24)",A1,bucket,0.7362098523034507,0.7381486465733952,0.3589642102891313,0.3388110108062937,0.7385842103898104,0.7484939261706901,0.3396011897940125,0.3470628112840942,0.737179249438423,0.0013709345756033615,0.3488876105477125,0.01425046401691966,0.7435390682802503,0.007007227228291404,0.34333200053905333,0.005276163154284061,-0.0029999541145717,-0.0025130509305203,-0.0034597850780666,-0.003052045562484,-0.0025401231510768,-0.0019740562985566,0.0,0.0,-0.0036888555423384,-0.0006792868268069,-0.0050176584578881,-0.0028473480803337,-0.0024321228612445,0.0019770664027403
A1_calendar,"A1 calendar windows on trailing (1, 6, 24)",A1,calendar,0.7379401403766486,0.7384429205530699,0.3609311833508499,0.3393141450861605,0.7392805767000402,0.7501735414421431,0.3402581756757322,0.3480039804492804,0.7381915304648592,0.0003555192721937109,0.3501226642185052,0.015285554346130962,0.7447270590710917,0.007702489236366921,0.3441310780625063,0.005477111081123057,-0.0012696660413741,-0.0022187769508457,-0.0016739932307467,-0.0026466782064984,-0.0008653388520015,-0.001790875695193,7.523481837523605e-10,0.0,-0.0017163024538372,-0.0002726727297426,-0.0025542341663123,-0.0030576559821592,-0.000814174575018,0.0028483753284869
A1_event50,A1 event windows last50,A1,event50,0.7394104210679624,0.7415599180014741,0.3632905126945195,0.3418947194741832,0.7420387675063471,0.7535458517299445,0.3426534619518764,0.3519750411879589,0.7404851695347183,0.0015199238578258415,0.35259261608435133,0.015129110474964957,0.7477923096181458,0.008136737286190434,0.3473142515699177,0.006591351889201661,0.0002006146499397,0.0008982204975584,-0.0001910380054434,0.0004925293355461,0.0005922673053228,0.0013039116595708,0.3154054156545607,1.4283445412210938e-05,0.0007117243361079,0.0024997793102641,-0.00061257428807,0.0003735828143487,0.0017091664489265,0.0052452405093547
A1_gap1,"A1 gap g=1 windows (1, 6, 24)",A1,gap1,0.7340203110912893,0.7354179104577275,0.3566042527590298,0.3372697177324942,0.7362894073616586,0.7457998102266945,0.3378280138240995,0.3449870301052744,0.7347191107745084,0.0009882519893905021,0.346936985245762,0.013671580828352143,0.7410446087941766,0.006724870357682858,0.34140752196468693,0.005062188959043657,-0.0051894953267334,-0.0052437870461879,-0.005774001045658,-0.0058195683362755,-0.0046049896078087,-0.0046680057561004,0.0,0.0,-0.0060572255787659,-0.0023828003019496,-0.0080188572443911,-0.0056472936412604,-0.0041392674749785,0.0014539365099211
A1_trailing,"A1 trailing windows (1, 6, 24)",A1,trailing,0.7371496311447426,0.7386321298715507,0.3606632731608393,0.3392618355108284,0.7387581128621274,0.7498273618972825,0.3397019439654672,0.3482946507598206,0.7378908805081467,0.0010482849028264,0.34996255433583384,0.015133101689463798,0.744292737379705,0.007827141055400784,0.34399829736264387,0.006075961243034986,-0.0020601752732799,-0.0020295676323647,-0.0025084970694803,-0.0024820253138952,-0.0016118534770795,-0.0015771099508341,0.0,0.0,-0.0020318563329816,-0.0002114299089837,-0.0031618236536623,-0.0025041525657248,-0.0009402409329607,0.0026637734464818
A2_bucket,"A2 bucket edges (1, 3, 6, 12, 24)",A2,bucket,0.7358045296977458,0.736956677484388,0.3583505036915461,0.3369555424689546,0.7377105883865971,0.7464710264750691,0.3379428379426884,0.3437259907029616,0.7363806035910669,0.0008146915128637627,0.34765302308025037,0.015128522163717672,0.7420908074308331,0.006194565178523499,0.340834414322825,0.004089306533426874,-0.0034052767202767,-0.0037050200195274,-0.0039243068764511,-0.0043212912174487,-0.0028862465641024,-0.0030887488216061,0.0,0.0,-0.0043732723445125,-0.0026928883911863,-0.0059446826736437,-0.0048643540364044,-0.0029622951478752,8.418125104469062e-05
A2_calendar,"A2 calendar windows on trailing (1, 3, 6, 12, 24)",A2,calendar,0.7381616761892591,0.7385468610163913,0.361399424241291,0.3393019806231516,0.740071967150558,0.7498902865474706,0.3416049151249877,0.3486981422338981,0.7383542686028253,0.00027236680327537104,0.35035070243222133,0.015625252229273783,0.7449811268490143,0.0069426002254122975,0.3451515286794429,0.005015668989206804,-0.0010481302287637,-0.002114836487524,-0.0015103190205232,-0.0025571206004011,-0.0005859414370041,-0.0016725523746469,8.80084179444296e-06,0.0,-0.001311403720114,-0.0002210784736105,-0.0024600786005185,-0.0027245704346632,-9.630972995932762e-05,0.0029759593395136
A2_event50,A2 event windows last50,A2,event50,0.7396986354979987,0.7417561839170572,0.3636744977559442,0.3419330323296834,0.7425353625562972,0.7536693639420048,0.343127992316228,0.3515431952839894,0.740727409707528,0.0014549064397359078,0.3528037650428138,0.015373537635841858,0.748102363249151,0.007872927881574288,0.3473355938001087,0.005950447083565272,0.0004888290799761,0.0010944864131415,8.022079042919691e-05,0.0006805803120856,0.0008974373695231,0.0015083925141974,0.0190394533777409,2.1868871424857161e-07,0.0011048597856649,0.0025332683363204,8.35308849638839e-05,0.000257936825824,0.002113621271889,0.0052621723517059
A2_gap1,"A2 gap g=1 windows (1, 3, 6, 12, 24)",A2,gap1,0.7335726745050073,0.7344977568694732,0.3558803062925333,0.3362928438882184,0.7357102518310505,0.7445533106455328,0.3372363966558175,0.3437118950866318,0.7340352156872403,0.0006541320130699005,0.3460865750903759,0.013850427492327632,0.7401317812382917,0.0062529868541518485,0.34047414587122465,0.004578868851991637,-0.0056371319130152,-0.0061639406344423,-0.0062205108959246,-0.0067823332239702,-0.0050537529301059,-0.0055455480449144,0.0,0.0,-0.0068373827221861,-0.0033708068172213,-0.0089228329014646,-0.0064324924884251,-0.0050348189634176,-0.000104799884463
A2_trailing,"A2 trailing windows (1, 3, 6, 12, 24)",A2,trailing,0.7369566051017471,0.7382697005650563,0.360012645520288,0.3389879215293518,0.738634803982723,0.750080009448986,0.339455737940426,0.3483239429552858,0.7376131528334017,0.000928498706451195,0.3495002835248199,0.014866724906566472,0.7443574067158545,0.00809298239726794,0.34388984044785587,0.006270767902959911,-0.0022532013162753,-0.0023919969388593,-0.0027002456682955,-0.0028622667685547,-0.0018061569642552,-0.001921727109164,0.0,0.0,-0.0026920159673779,-0.0005368453818394,-0.0037185263184717,-0.0031442396748664,-0.0017952272481941,0.0026370578496088
