run_id,description,test_roc_auc_te_mean,test_roc_auc_te_std,test_roc_auc_note_mean,test_roc_auc_note_std,delta_test_roc_auc_te_minus_note_mean,delta_test_roc_auc_te_minus_note_std,test_pr_auc_te_mean,test_pr_auc_te_std,test_pr_auc_note_mean,test_pr_auc_note_std,delta_test_pr_auc_te_minus_note_mean,delta_test_pr_auc_te_minus_note_std
A2_gap1,"A2 gap g=1 windows (1, 3, 6, 12, 24)",0.7475978077372141,0.002611264611384765,0.7340352156872403,0.0006541320130699005,0.013562592049973787,0.0019571325983148645,0.36389406983403494,0.013597169222602318,0.3460865750903759,0.013850427492327632,0.017807494743659058,0.00025325826972531486
A1_gap1,"A1 gap g=1 windows (1, 6, 24)",0.7468889936307544,0.0038739732397286746,0.7347191107745084,0.0009882519893905021,0.01216988285624604,0.002885721250338172,0.3638358375420483,0.01152018358952741,0.346936985245762,0.013671580828352143,0.016898852296286293,0.0021513972388247336
A2_bucket,"A2 bucket edges (1, 3, 6, 12, 24)",0.747814783232299,0.003031759888018535,0.7363806035910669,0.0008146915128637627,0.011434179641232112,0.0022170683751547723,0.3647535346299585,0.012747886276774544,0.34765302308025037,0.015128522163717672,0.017100511549708153,0.0023806358869431273
A2_calendar,"A2 calendar windows on trailing (1, 3, 6, 12, 24)",0.7496827297283448,0.0026528059921322815,0.7383542686028253,0.00027236680327537104,0.011328461125519551,0.0023804391888569104,0.36655811932849336,0.014136260104146599,0.35035070243222133,0.015625252229273783,0.016207416896272087,0.0014889921251271846
A1_trailing,"A1 trailing windows (1, 6, 24)",0.7492008644630883,0.0026585533732590362,0.7378908805081467,0.0010482849028264,0.011309983954941705,0.0016102684704326364,0.3662768145622139,0.013886224858029383,0.34996255433583384,0.015133101689463798,0.01631426022638005,0.0012468768314344155
A1_calendar,"A1 calendar windows on trailing (1, 6, 24)",0.7493204903868993,0.003512661430018798,0.7381915304648592,0.0003555192721937109,0.01112895992204005,0.0031571421578250876,0.36660349590053143,0.013228052925765744,0.3501226642185052,0.015285554346130962,0.016480831682026215,0.002057501420365219
A3_gap1,"A3 gap g=1 windows (1, 6, 24, 48, 168)",0.7482412759814284,0.0031032096866723956,0.7377660199924434,0.0018493931205837359,0.010475255988985077,0.00125381656608866,0.3642623632170484,0.014094814010198194,0.3496056395252072,0.013051015581562216,0.014656723691841261,0.0010437984286359781
A2_trailing,"A2 trailing windows (1, 3, 6, 12, 24)",0.7480647448335175,0.004887035061185249,0.7376131528334017,0.000928498706451195,0.010451592000115806,0.003958536354734054,0.36432262490365874,0.010924578162430343,0.3495002835248199,0.014866724906566472,0.014822341378838838,0.00394214674413613
A1_bucket,"A1 bucket edges (1, 6, 24)",0.7475580885756855,0.004318107186802183,0.737179249438423,0.0013709345756033615,0.010378839137262563,0.0029471726111988212,0.3635687059364341,0.0122404399620932,0.3488876105477125,0.01425046401691966,0.014681095388721588,0.0020100240548264602
A3_trailing,"A3 trailing windows (1, 6, 24, 48, 168)",0.7501425510164129,0.0025944779945463905,0.7399357519609691,0.0010266420323791997,0.01020679905544386,0.0015678359621671906,0.36752104886275316,0.015878977724722174,0.3510090328310266,0.016267235180512346,0.01651201603172664,0.00038825745579017256
