run_id,fold_id,run_dir,baseline_run_id,baseline_run_dir,split,delta_roc_auc,delta_roc_ci_low,delta_roc_ci_high,delta_roc_p_value,delta_pr_auc,delta_pr_ci_low,delta_pr_ci_high
A1_trailing,A,runs/20260114_131742_paper_full_grid_10pct_A1_trailing_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0005534287052801901,-0.000855120183445455,-0.00025173722711492515,0.0003238985198283917,-0.001269976000456501,-0.002197769479793418,-0.0004190159394955889
A1_gap1,A,runs/20260114_133523_paper_full_grid_10pct_A1_gap1_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0022732856292313475,-0.002654258457544881,-0.001892312800917814,0.0,-0.003757302764395337,-0.005083716553775127,-0.0023967400650650172
A1_bucket,A,runs/20260114_135239_paper_full_grid_10pct_A1_bucket_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0015323746394069193,-0.0018993561680332913,-0.0011653931107805473,2.220446049250313e-16,-0.0038088523891201937,-0.005435897743609801,-0.0020180294491775647
A1_calendar,A,runs/20260114_141024_paper_full_grid_10pct_A1_calendar_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0007872332680144423,-0.0010813443382337547,-0.0004931221977951298,1.553160222655947e-07,-0.0003215407330183079,-0.0012228265717212014,0.0007649038532477227
A1_event50,A,runs/20260114_142854_paper_full_grid_10pct_A1_event50_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.00024439742807536025,-0.0005585610243075135,6.976616815679304e-05,0.12733003249426833,0.0007343732892586253,-0.00014546786565667046,0.0015335546392210204
A2_trailing,A,runs/20260114_144742_paper_full_grid_10pct_A2_trailing_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0005796645052107419,-0.0008862798245883781,-0.0002730491858331056,0.00021108686130832943,0.000407070978639959,-0.00041838225069858875,0.0010946295929969347
A2_gap1,A,runs/20260114_150749_paper_full_grid_10pct_A2_gap1_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.003512301097472581,-0.00394164210952224,-0.0030829600854229222,0.0,-0.0046953602112366315,-0.005942353812887148,-0.0033444225451661003
A2_bucket,A,runs/20260114_152640_paper_full_grid_10pct_A2_bucket_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0023001874404380285,-0.0026950111795466247,-0.0019053637013294322,0.0,-0.002899123618137127,-0.003945621013210469,-0.0019278535873589503
A2_calendar,A,runs/20260114_154635_paper_full_grid_10pct_A2_calendar_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0017349269352660013,-0.0020967680565572864,-0.001373085813974716,0.0,-0.0029192421733439857,-0.0036791825880178137,-0.0020471070756889666
A2_event50,A,runs/20260114_160908_paper_full_grid_10pct_A2_event50_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.00040984720791403806,-0.0007241735503923165,-9.55208654357596e-05,0.010601132616170572,0.00041512805993196343,-0.000269946826015556,0.0011220281501300223
A3_gap1,A,runs/20260114_164749_paper_full_grid_10pct_A3_gap1_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0034336230495737308,-0.0038333053471663226,-0.003033940751981139,0.0,-0.005664715970805876,-0.007387393901331671,-0.004026414986157925
A3_bucket,A,runs/20260114_170846_paper_full_grid_10pct_A3_bucket_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0016080667537921034,-0.0019578449158461687,-0.0012582885917380381,0.0,-0.0027730786623858927,-0.0041227780688673525,-0.0015401097960687225
A3_calendar,A,runs/20260114_172951_paper_full_grid_10pct_A3_calendar_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0002616778734559899,-0.00046616012241407375,-5.719562449790609e-05,0.012135328487987485,-0.0010818261346332908,-0.0019089864504779161,-0.00019237760819493794
A3_event50,A,runs/20260114_175249_paper_full_grid_10pct_A3_event50_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,0.0003082115093292481,3.175358099065579e-05,0.0005846694376678405,0.02888277778662074,-0.0003392286595347005,-0.0011592930173954976,0.0003907543367713971
A4_trailing,A,runs/20260114_181732_paper_full_grid_10pct_A4_trailing_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.001876024288161915,-0.0022297287465682337,-0.0015223198297555963,0.0,-0.0019796597337602816,-0.00278926091018364,-0.001161316342371263
A4_gap1,A,runs/20260114_184258_paper_full_grid_10pct_A4_gap1_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0031409219101398156,-0.0035619266067434003,-0.002719917213536231,0.0,-0.0048610539398653155,-0.006362615721124386,-0.0031592996994467323
A4_bucket,A,runs/20260114_191104_paper_full_grid_10pct_A4_bucket_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0018058098904704112,-0.002195298310306801,-0.0014163214706340212,0.0,-0.0022171755512992294,-0.0033247672476269087,-0.0012674658457813579
A4_calendar,A,runs/20260114_194245_paper_full_grid_10pct_A4_calendar_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0009395169999578679,-0.0012340879856483273,-0.0006449460142674084,4.0733461048603203e-10,-0.0006734673259716914,-0.001445047431869438,0.00022114698602344199
A4_event50,A,runs/20260114_201044_paper_full_grid_10pct_A4_event50_foldA,A3_trailing,runs/20260114_162915_paper_full_grid_10pct_A3_trailing_foldA,test,-0.000749286022980078,-0.001065383591285463,-0.0004331884546746929,3.385143614975661e-06,-0.0009077087136556872,-0.0017423557886509621,-4.410859924735959e-05
A1_trailing,B,runs/20260114_132749_paper_full_grid_10pct_A1_trailing_foldB,A3_trailing,runs/20260114_163941_paper_full_grid_10pct_A3_trailing_foldB,test,-0.00020401499260669365,-0.0005713960264485446,0.0001633660412351573,0.27641313142225643,0.00046658921884352636,-0.0005036131103963947,0.0013208353851335804
A1_gap1,B,runs/20260114_134428_paper_full_grid_10pct_A1_gap1_foldB,A3_trailing,runs/20260114_163941_paper_full_grid_10pct_A3_trailing_foldB,test,-0.0014688688298959418,-0.0019247709785169286,-0.001012966681274955,2.7051449968951147e-10,0.00019173762064205596,-0.001616318344013369,0.0020088942099892
