run_id,description,length_set,shape,test_roc_auc_A,test_roc_auc_B,test_pr_auc_A,test_pr_auc_B,val_roc_auc_A,val_roc_auc_B,val_pr_auc_A,val_pr_auc_B,test_roc_auc_mean,test_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,val_roc_auc_mean,val_roc_auc_std,val_pr_auc_mean,val_pr_auc_std,delta_roc_auc_A,delta_roc_auc_B,delta_roc_ci_low_A,delta_roc_ci_low_B,delta_roc_ci_high_A,delta_roc_ci_high_B,delta_roc_p_value_A,delta_roc_p_value_B,delta_pr_auc_A,delta_pr_auc_B,delta_pr_ci_low_A,delta_pr_ci_low_B,delta_pr_ci_high_A,delta_pr_ci_high_B
A1_bucket,"A1 bucket edges (1, 6, 24)",A1,bucket,0.7467268993615508,0.7509237793440802,0.3740102777065144,0.3558104955072761,0.7539021101871598,0.7631058399934929,0.3592324975360247,0.3670477409869345,0.7488253393528155,0.0029676422954726025,0.36491038660689523,0.012869189409199613,0.7585039750903264,0.006508019758266889,0.3631401192614796,0.005526211640762061,-0.0015323746394069,-0.0005935787435391,-0.0018993561680332,-0.0009904804562428,-0.0011653931107805,-0.0001966770308354,2.220446049250313e-16,0.0033766994729496,-0.0038088523891201,0.0002452333634042,-0.0054358977436098,-0.0009819249619468,-0.0020180294491775,0.0015848241748264
A1_calendar,"A1 calendar windows on trailing (1, 6, 24)",A1,calendar,0.7474720407329433,0.7509006438166161,0.3775407132989741,0.3561846697837006,0.7533320490716128,0.7627825345873201,0.3585265637444939,0.3679641480268437,0.7491863422747798,0.0024243884904621986,0.3668626915413373,0.015101003188964873,0.7580572918294665,0.006682502393661931,0.36324535588566875,0.006673379844069126,-0.0007872332680144,-0.000616714271003,-0.0010813443382337,-0.0010052553963903,-0.0004931221977951,-0.0002281731456158,1.553160222655947e-07,0.001864771739124,-0.0003215407330183,0.0005733467197856,-0.0012228265717212,-0.0009267842959637,0.0007649038532477,0.0021612222496998
A1_event50,A1 event windows last50,A1,event50,0.748014876572882,0.752664549410338,0.3785411922211006,0.3579672341649401,0.7541429670437192,0.76304943320826,0.3593995022707563,0.3685875232152151,0.7503397129916101,0.003287815193664024,0.3682542131930203,0.014547985257358707,0.7585962001259896,0.006297822621355359,0.3639935127429857,0.0064969119155108505,-0.0002443974280753,0.0011471913227187,-0.0005585610243075,0.0007537981320265,6.976616815679304e-05,0.001540584513411,0.1273300324942683,1.0935756744601122e-08,0.0007343732892586,0.002415631628121,-0.0001454678656566,0.0015126007487234,0.001533554639221,0.0034307561899631
A1_gap1,"A1 gap g=1 windows (1, 6, 24)",A1,gap1,0.7459859883717262,0.7500484892577233,0.3740362622368026,0.3557904281772582,0.7530665114887174,0.7608789630514581,0.3583886959018987,0.3660923391652952,0.7480172388147248,0.002872621925064852,0.3649133452070304,0.012901752991908308,0.7569727372700877,0.005524237477705379,0.362240517533597,0.005447298391389736,-0.0022732856292313,-0.0014688688298959,-0.0026542584575448,-0.0019247709785169,-0.0018923128009178,-0.0010129666812749,0.0,2.7051449968951147e-10,-0.0037573027643953,0.000191737620642,-0.0050837165537751,-0.0016163183440133,-0.002396740065065,0.0020088942099892
A1_trailing,"A1 trailing windows (1, 6, 24)",A1,trailing,0.7477058452956772,0.7513133430950126,0.3764883952855439,0.3560563777505626,0.7544016674693921,0.7635724332909534,0.3597477609283242,0.3683309108852305,0.7495095941953449,0.0025508861570256412,0.3662723865180533,0.014447618152307728,0.7589870503801728,0.006484710701099807,0.3640393359067774,0.00606920353846946,-0.0005534287052801,-0.0002040149926066,-0.0008551201834454,-0.0005713960264485,-0.0002517372271149,0.0001633660412351,0.0003238985198283,0.2764131314222564,-0.0012699760004565,0.0004665892188435,-0.0021977694797934,-0.0005036131103963,-0.0004190159394955,0.0013208353851335
A2_bucket,"A2 bucket edges (1, 3, 6, 12, 24)",A2,bucket,0.7459590865605195,0.7494004467880453,0.3750026402139647,0.3546629265736397,0.7535561276394612,0.7622808555254565,0.359554983009936,0.365792612221536,0.7476797666742824,0.0024334091533891986,0.3648327833938022,0.014382349442466323,0.7579184915824588,0.006169314252194662,0.362673797615736,0.004410669914049645,-0.002300187440438,-0.002116911299574,-0.0026950111795466,-0.0026024187306549,-0.0019053637013294,-0.0016314038684931,0.0,0.0,-0.0028991236181371,-0.000982065655589,-0.0039456210132104,-0.0028363483446811,-0.0019278535873589,0.0006472037644993
A2_calendar,"A2 calendar windows on trailing (1, 3, 6, 12, 24)",A2,calendar,0.7465243470656915,0.7512068258489841,0.3749741310899948,0.3559059532324782,0.753914924157131,0.7630071452270986,0.3586278456817117,0.367832777821223,0.7488655864573378,0.0033110125004283623,0.3654400421612365,0.013483237867921145,0.7584610346921148,0.006429171174621257,0.36323031175146736,0.006508869936210429,-0.001734926935266,-0.0003105322386351,-0.0020967680565572,-0.0006954973166319,-0.0013730858139747,7.443283936151566e-05,0.0,0.113876721886367,-0.0029192421733439,0.0002723753233714,-0.0036791825880178,-0.001566642168126,-0.0020471070756889,0.001937700492377
A2_event50,A2 event windows last50,A2,event50,0.7478494267930433,0.7523707706517022,0.3782393777173461,0.3575308765815085,0.753948344170711,0.762600614518543,0.3591719013631366,0.3677799512952237,0.7501100987223728,0.0031970729025338433,0.36788512714942734,0.014643121581360096,0.758274479344627,0.006118079035611297,0.36347592632918013,0.006086810479771175,-0.000409847207914,0.0008534125640828,-0.0007241735503923,0.0004655992278604,-9.55208654357596e-05,0.0012412259003053,0.0106011326161705,1.6101847462257624e-05,0.0004151280599319,0.0019728330863221,-0.0002699468260155,0.0012220498572958,0.00112202815013,0.0028546589187599
A2_gap1,"A2 gap g=1 windows (1, 3, 6, 12, 24)",A2,gap1,0.7447469729034849,0.7493048081233508,0.3730882148814415,0.3543786316345703,0.7520558604869936,0.761211749241219,0.3574395126856675,0.3657017005903191,0.7470258905134178,0.0032228761914980266,0.3637334232580059,0.013229673187036863,0.7566338048641064,0.006474191025902474,0.3615706066379933,0.005842249094816624,-0.0035123010974725,-0.0022125499642682,-0.0039416421095222,-0.0026647709834948,-0.0030829600854229,-0.0017603289450416,0.0,0.0,-0.0046953602112366,-0.0012907372552904,-0.0059423538128871,-0.0031108128615433,-0.0033444225451661,0.0004791329876705
A2_trailing,"A2 trailing windows (1, 3, 6, 12, 24)",A2,trailing,0.7476796094957467,0.7518835564118757,0.3781961499902275,0.3571121238794524,0.7536629108256024,0.7629534800055914,0.3585401347646403,0.3679702736995145,0.7497815829538113,0.002972639372143026,0.36765413693483995,0.014908657837643296,0.7583081954155969,0.006569424468252921,0.3632552042320774,0.006668115188380841,-0.0005796645052107,0.0003661983242564,-0.0008862798245883,-1.148614778122113e-05,-0.0002730491858331,0.000743882796294,0.0002110868613083,0.057386217591778,0.0004070709786399,0.0014995047334636,-0.0004183822506985,0.0003433294695636,0.0010946295929969,0.0025344485937586
A3_bucket,"A3 bucket edges (1, 6, 24, 48, 168)",A3,bucket,0.7466512072471655,0.7508240616171354,0.3750887524843913,0.3546009546246746,0.753733617585418,0.7624537486274306,0.3593195944920471,0.3665968941871562,0.7487376344321505,0.002950653621909668,0.36484485355453294,0.014487060798184886,0.7580936831064243,0.006166063792642449,0.36295824433960167,0.005145827963138437,-0.0016080667537921,-0.0006932964704836,-0.0019578449158461,-0.0010894514831385,-0.001258288591738,-0.0002971414578287,0.0,0.000603444146038,-0.0027730786623858,-0.0010407298918186,-0.0041227780688673,-0.002851744771015,-0.0015401097960687,0.0004419094637373
