run_id,fold_id,run_dir,baseline_run_id,baseline_run_dir,split,delta_roc_auc,delta_roc_ci_low,delta_roc_ci_high,delta_roc_p_value,delta_pr_auc,delta_pr_ci_low,delta_pr_ci_high
A1_trailing,A,runs/20260114_041514_paper_full_grid_10pct_noTE_with_preds_A1_trailing_foldA,A3_trailing,runs/20260114_060751_paper_full_grid_10pct_noTE_with_preds_A3_trailing_foldA,test,-0.0020601752732799516,-0.002508497069480364,-0.0016118534770795396,0.0,-0.0020318563329816135,-0.003161823653662385,-0.000940240932960791
A1_gap1,A,runs/20260114_042354_paper_full_grid_10pct_noTE_with_preds_A1_gap1_foldA,A3_trailing,runs/20260114_060751_paper_full_grid_10pct_noTE_with_preds_A3_trailing_foldA,test,-0.0051894953267334065,-0.005774001045658085,-0.004604989607808728,0.0,-0.00605722557876599,-0.008018857244391196,-0.004139267474978526
A1_bucket,A,runs/20260114_043330_paper_full_grid_10pct_noTE_with_preds_A1_bucket_foldA,A3_trailing,runs/20260114_060751_paper_full_grid_10pct_noTE_with_preds_A3_trailing_foldA,test,-0.002999954114571768,-0.003459785078066691,-0.0025401231510768446,0.0,-0.003688855542338465,-0.005017658457888133,-0.0024321228612445523
A1_calendar,A,runs/20260114_044320_paper_full_grid_10pct_noTE_with_preds_A1_calendar_foldA,A3_trailing,runs/20260114_060751_paper_full_grid_10pct_noTE_with_preds_A3_trailing_foldA,test,-0.001269666041374129,-0.0016739932307467498,-0.0008653388520015082,7.523481837523605e-10,-0.0017163024538372137,-0.002554234166312368,-0.0008141745750180199
A1_event50,A,runs/20260114_045340_paper_full_grid_10pct_noTE_with_preds_A1_event50_foldA,A3_trailing,runs/20260114_060751_paper_full_grid_10pct_noTE_with_preds_A3_trailing_foldA,test,0.00020061464993970102,-0.00019103800544342293,0.000592267305322825,0.3154054156545607,0.0007117243361079342,-0.0006125742880700267,0.0017091664489265526
A2_trailing,A,runs/20260114_050341_paper_full_grid_10pct_noTE_with_preds_A2_trailing_foldA,A3_trailing,runs/20260114_060751_paper_full_grid_10pct_noTE_with_preds_A3_trailing_foldA,test,-0.0022532013162753772,-0.0027002456682955296,-0.001806156964255225,0.0,-0.0026920159673779094,-0.0037185263184717266,-0.0017952272481941375
A2_gap1,A,runs/20260114_051416_paper_full_grid_10pct_noTE_with_preds_A2_gap1_foldA,A3_trailing,runs/20260114_060751_paper_full_grid_10pct_noTE_with_preds_A3_trailing_foldA,test,-0.005637131913015292,-0.006220510895924672,-0.0050537529301059115,0.0,-0.006837382722186167,-0.0089228329014646,-0.005034818963417653
A2_bucket,A,runs/20260114_052547_paper_full_grid_10pct_noTE_with_preds_A2_bucket_foldA,A3_trailing,runs/20260114_060751_paper_full_grid_10pct_noTE_with_preds_A3_trailing_foldA,test,-0.0034052767202767953,-0.003924306876451155,-0.0028862465641024348,0.0,-0.004373272344512501,-0.0059446826736437725,-0.0029622951478752127
A2_calendar,A,runs/20260114_053759_paper_full_grid_10pct_noTE_with_preds_A2_calendar_foldA,A3_trailing,runs/20260114_060751_paper_full_grid_10pct_noTE_with_preds_A3_trailing_foldA,test,-0.0010481302287637106,-0.001510319020523268,-0.0005859414370041533,8.80084179444296e-06,-0.0013114037201140305,-0.0024600786005185755,-9.630972995932762e-05
A2_event50,A,runs/20260114_055258_paper_full_grid_10pct_noTE_with_preds_A2_event50_foldA,A3_trailing,runs/20260114_060751_paper_full_grid_10pct_noTE_with_preds_A3_trailing_foldA,test,0.0004888290799761608,8.022079042919691e-05,0.0008974373695231246,0.019039453377740934,0.001104859785664918,8.35308849638839e-05,0.002113621271889087
