run_id,fold_id,test_roc_auc_te,test_pr_auc_te,val_roc_auc_te,val_pr_auc_te,test_roc_auc_note,test_pr_auc_note,val_roc_auc_note,val_pr_auc_note,description,delta_test_roc_auc_te_minus_note,delta_test_pr_auc_te_minus_note,delta_val_roc_auc_te_minus_note,delta_val_pr_auc_te_minus_note
A1_trailing,A,0.7477058452956772,0.3764883952855439,0.7544016674693921,0.3597477609283242,0.7371496311447426,0.3606632731608393,0.7387581128621274,0.3397019439654672,"A1 trailing windows (1, 6, 24)",0.01055621415093455,0.015825122124704605,0.01564355460726463,0.02004581696285701
A1_trailing,B,0.7513133430950126,0.3560563777505626,0.7635724332909534,0.3683309108852305,0.7386321298715507,0.3392618355108284,0.7498273618972825,0.3482946507598206,"A1 trailing windows (1, 6, 24)",0.01268121322346194,0.0167945422397342,0.013745071393670871,0.020036260125409933
A1_gap1,A,0.7459859883717262,0.3740362622368026,0.7530665114887174,0.3583886959018987,0.7340203110912893,0.3566042527590298,0.7362894073616586,0.3378280138240995,"A1 gap g=1 windows (1, 6, 24)",0.01196567728043696,0.017432009477772792,0.016777104127058795,0.02056068207779921
A1_gap1,B,0.7500484892577233,0.3557904281772582,0.7608789630514581,0.3660923391652952,0.7354179104577275,0.3372697177324942,0.7457998102266945,0.3449870301052744,"A1 gap g=1 windows (1, 6, 24)",0.014630578799995742,0.018520710444764,0.015079152824763575,0.021105309060020838
A1_bucket,A,0.7467268993615508,0.3740102777065144,0.7539021101871598,0.3592324975360247,0.7362098523034507,0.3589642102891313,0.7385842103898104,0.3396011897940125,"A1 bucket edges (1, 6, 24)",0.010517047058100082,0.015046067417383124,0.015317899797349432,0.019631307742012216
A1_bucket,B,0.7509237793440802,0.3558104955072761,0.7631058399934929,0.3670477409869345,0.7381486465733952,0.3388110108062937,0.7484939261706901,0.3470628112840942,"A1 bucket edges (1, 6, 24)",0.012775132770684983,0.016999484700982392,0.014611913822802802,0.01998492970284027
A1_calendar,A,0.7474720407329433,0.3775407132989741,0.7533320490716128,0.3585265637444939,0.7379401403766486,0.3609311833508499,0.7392805767000402,0.3402581756757322,"A1 calendar windows on trailing (1, 6, 24)",0.009531900356294698,0.016609529948124202,0.01405147237157256,0.018268388068761687
A1_calendar,B,0.7509006438166161,0.3561846697837006,0.7627825345873201,0.3679641480268437,0.7384429205530699,0.3393141450861605,0.7501735414421431,0.3480039804492804,"A1 calendar windows on trailing (1, 6, 24)",0.012457723263546217,0.016870524697540135,0.01260899314517705,0.019960167577563304
A1_event50,A,0.748014876572882,0.3785411922211006,0.7541429670437192,0.3593995022707563,0.7394104210679624,0.3632905126945195,0.7420387675063471,0.3426534619518764,A1 event windows last50,0.008604455504919617,0.015250679526581101,0.012104199537372073,0.016746040318879885
A1_event50,B,0.752664549410338,0.3579672341649401,0.76304943320826,0.3685875232152151,0.7415599180014741,0.3418947194741832,0.7535458517299445,0.3519750411879589,A1 event windows last50,0.011104631408863863,0.01607251469075688,0.009503581478315537,0.01661248202725618
A2_trailing,A,0.7476796094957467,0.3781961499902275,0.7536629108256024,0.3585401347646403,0.7369566051017471,0.360012645520288,0.738634803982723,0.339455737940426,"A2 trailing windows (1, 3, 6, 12, 24)",0.010723004393999647,0.018183504469939493,0.015028106842879474,0.01908439682421431
A2_trailing,B,0.7518835564118757,0.3571121238794524,0.7629534800055914,0.3679702736995145,0.7382697005650563,0.3389879215293518,0.750080009448986,0.3483239429552858,"A2 trailing windows (1, 3, 6, 12, 24)",0.0136138558468194,0.018124202350100593,0.012873470556605371,0.019646330744228724
A2_gap1,A,0.7447469729034849,0.3730882148814415,0.7520558604869936,0.3574395126856675,0.7335726745050073,0.3558803062925333,0.7357102518310505,0.3372363966558175,"A2 gap g=1 windows (1, 3, 6, 12, 24)",0.011174298398477611,0.017207908588908194,0.016345608655943034,0.020203116029849977
A2_gap1,B,0.7493048081233508,0.3543786316345703,0.761211749241219,0.3657017005903191,0.7344977568694732,0.3362928438882184,0.7445533106455328,0.3437118950866318,"A2 gap g=1 windows (1, 3, 6, 12, 24)",0.014807051253877601,0.01808578774635189,0.016658438595686276,0.021989805503687287
A2_bucket,A,0.7459590865605195,0.3750026402139647,0.7535561276394612,0.359554983009936,0.7358045296977458,0.3583505036915461,0.7377105883865971,0.3379428379426884,"A2 bucket edges (1, 3, 6, 12, 24)",0.010154556862773667,0.016652136522418592,0.015845539252864138,0.021612145067247568
A2_bucket,B,0.7494004467880453,0.3546629265736397,0.7622808555254565,0.365792612221536,0.736956677484388,0.3369555424689546,0.7464710264750691,0.3437259907029616,"A2 bucket edges (1, 3, 6, 12, 24)",0.012443769303657315,0.017707384104685087,0.015809829050387414,0.02206662151857436
A2_calendar,A,0.7465243470656915,0.3749741310899948,0.753914924157131,0.3586278456817117,0.7381616761892591,0.361399424241291,0.740071967150558,0.3416049151249877,"A2 calendar windows on trailing (1, 3, 6, 12, 24)",0.008362670876432388,0.013574706848703766,0.013842957006573009,0.017022930556723992
A2_calendar,B,0.7512068258489841,0.3559059532324782,0.7630071452270986,0.367832777821223,0.7385468610163913,0.3393019806231516,0.7498902865474706,0.3486981422338981,"A2 calendar windows on trailing (1, 3, 6, 12, 24)",0.012659964832592796,0.01660397260932661,0.013116858679627974,0.019134635587324866
A2_event50,A,0.7478494267930433,0.3782393777173461,0.753948344170711,0.3591719013631366,0.7396986354979987,0.3636744977559442,0.7425353625562972,0.343127992316228,A2 event windows last50,0.00815079129504459,0.014564879961401933,0.011412981614413842,0.01604390904690861
A2_event50,B,0.7523707706517022,0.3575308765815085,0.762600614518543,0.3677799512952237,0.7417561839170572,0.3419330323296834,0.7536693639420048,0.3515431952839894,A2 event windows last50,0.010614586734644993,0.015597844251825088,0.008931250576538208,0.016236756011234255
